selection_type,selection_level,artifact_id,repo_id,name,normalized_description,artifact_group_size,repo_full_name,path,file_sha,first_commit_at,sibling_file_count,sibling_content_sha,notes
content,high,2576322,4227,AWS Penetration Testing,"this skill should be used when the user asks to ""pentest aws"", ""test aws security"", ""enumerate iam"", ""exploit cloud infrastructure"", ""aws privilege escalation"", ""s3 bucket testing"", ""metadata ssrf"", ""lambda exploitation"", or needs guidance on amazon web services security assessment.",2,AristidesAI/VisionEmoji,.claude/skills/aws-penetration-testing/SKILL.md,644bdc1dd657cc79b459b2fee48f3c2efd3b2a95,2026-02-17T12:23:56Z,2,3daf9d5f59b3c9e80cbdf06c5a21635e10d84a079392275797614676e38939b2,5 content screening hits
content,high,2566093,45231,AWS Penetration Testing,"this skill should be used when the user asks to ""pentest aws"", ""test aws security"", ""enumerate iam"", ""exploit cloud infrastructure"", ""aws privilege escalation"", ""s3 bucket testing"", ""metadata ssrf"", ""lambda exploitation"", or needs guidance on amazon web services security assessment.",2,giosuetedeschi-spec/bobu-website,.claude/skills/aws-penetration-testing/SKILL.md,b3d7cd9bb86e580801823d0b1633fe59708c671a,2026-07-10T12:30:02Z,1,06d0326af38ed4e724ea2e537af0e940af7a63facf6a02cf386576d88f1df315,5 content screening hits
content,low,1929842,74925,code-dedup,"searches for duplicate code, duplicate tests, and dead code, then safely merges or removes them. use when the user says ""deduplicate"", ""find duplicates"", ""remove dead code"", ""dry up"", or ""code dedup"". requires test coverage — refuses to touch untested code.",10,Nimblesite/ClinicalCoding,.claude/skills/code-dedup/SKILL.md,f76322921b770921c1df247b7b11197ce16e7752,2026-03-31T20:02:30Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0 content screening hits
content,low,1739016,74946,code-dedup,"searches for duplicate code, duplicate tests, and dead code, then safely merges or removes them. use when the user says ""deduplicate"", ""find duplicates"", ""remove dead code"", ""dry up"", or ""code dedup"". requires test coverage — refuses to touch untested code.",10,Nimblesite/CommandTree,.claude/skills/code-dedup/SKILL.md,fc8e9149e3c0f25fb554ab30ffc6f4e09c606f94,2026-04-06T08:16:22Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0 content screening hits
content,low,1856534,71172,code-dedup,"searches for duplicate code, duplicate tests, and dead code, then safely merges or removes them. use when the user says ""deduplicate"", ""find duplicates"", ""remove dead code"", ""dry up"", or ""code dedup"". requires test coverage — refuses to touch untested code.",10,Nimblesite/dart_mutant,.claude/skills/code-dedup/SKILL.md,dcd6401965c9270e08e1dd3be8b4e70933dc75bd,2026-04-06T10:05:50Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0 content screening hits
content,low,1231408,116470,code-dedup,"searches for duplicate code, duplicate tests, and dead code, then safely merges or removes them. use when the user says ""deduplicate"", ""find duplicates"", ""remove dead code"", ""dry up"", or ""code dedup"". requires test coverage — refuses to touch untested code.",10,Nimblesite/Shipwright,.claude/skills/code-dedup/SKILL.md,5b2211139a718c65109377e0fdd5ceef307acfd4,2026-04-23T03:11:49Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0 content screening hits
content,low,3742123,70188,code-dedup,"searches for duplicate code, duplicate tests, and dead code, then safely merges or removes them. use when the user says ""deduplicate"", ""find duplicates"", ""remove dead code"", ""dry up"", or ""code dedup"". requires test coverage — refuses to touch untested code.",10,Nimblesite/osprey,.claude/skills/code-dedup/SKILL.md,2032a9b6d4f69b6a938a72e37f744f4c2568dc35,2026-05-04T21:54:51Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0 content screening hits
content,low,2204602,27682,code-dedup,"searches for duplicate code, duplicate tests, and dead code, then safely merges or removes them. use when the user says ""deduplicate"", ""find duplicates"", ""remove dead code"", ""dry up"", or ""code dedup"". requires test coverage — refuses to touch untested code.",10,Nimblesite/too-many-cooks,.claude/skills/code-dedup/SKILL.md,0af4260c70fb039f7c808a9e01e1a4a5712e6c6f,2026-05-23T23:29:06Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0 content screening hits
content,low,1879945,74912,code-dedup,"searches for duplicate code, duplicate tests, and dead code, then safely merges or removes them. use when the user says ""deduplicate"", ""find duplicates"", ""remove dead code"", ""dry up"", or ""code dedup"". requires test coverage — refuses to touch untested code.",10,Nimblesite/Diffr,.claude/skills/code-dedup/SKILL.md,df54f9b2de2d33deb512fd315a28a44e55b81850,2026-05-27T10:01:15Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0 content screening hits
content,low,1740948,72931,code-dedup,"searches for duplicate code, duplicate tests, and dead code, then safely merges or removes them. use when the user says ""deduplicate"", ""find duplicates"", ""remove dead code"", ""dry up"", or ""code dedup"". requires test coverage — refuses to touch untested code.",10,Nimblesite/napper,.claude/skills/code-dedup/SKILL.md,51d179bed2ad942b7541d8d3ca54eaa2ddecae46,2026-06-03T12:18:37Z,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0 content screening hits
